0,1
"FIRST-TIME, FIRST YEAR (FRESHMAN) STUDENT APPLICANTS",TOTAL
"Total first-time, first-year (freshman) men who applied",9059
"Total first-time, first-year (freshman) women who applied",3967
"Total first-time, first-year (freshman) men who were admitted",260
"Total first-time, first-year (freshman) women who were admitted",250
"Total full-time, first-time, first-year (freshman) men who enrolled",149
"Total part-time, first-time, first-year (freshman) men who enrolled",0
"Total full-time, first-time, first-year (freshman) women who enrolled",121
"Total part-time, first-time, first-year (freshman) women who enrolled",0
,
"Total first-time, first-year (degree-seeking) who applied",13026
"Total first-time, first-year (degree-seeking) who were admitted",510
"Total first-time, first-year (degree-seeking) who enrolled",270
