0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,Another Gender,Men,Women,Another Gender
Undergraduates,,,,,,
"Degree-seeking, first-time, first-
year",735,760,59,0,0,0
"Other first-year, degree-seeking",0,0,0,15,8,0
All other degree-seeking,"2,427","2,551",56,19,8,1
Total degree-seeking,"3,162","3,311",115,34,16,1
"All other undergraduates
enrolled in credit courses",2,4,0,0,0,0
Total undergraduates,"3,164","3,315",115,34,16,1
Graduate,,,,,,
"Degree-seeking, first-time",1178,1435,47,31,29,1
All other degree-seeking,2389,2823,69,48,52,3
"All other graduates enrolled in
credit courses",16,17,0,10,10,3
Total graduate,3583,4275,116,89,91,7
Total all students,"6,747","7,590",231,123,107,8
